user.state.subs,binari.engaged,total.user.time.played.week.journey,periodicity,daytime.listened,total.user.skipped.week.journey,v1.perc.listened,artists.playlists.perc.listened,charts.perc.listened,content.lens.perc.listened,now.series.perc.listened,offline.playlists.perc.listened,online.playlist.perc.listened,playlists.perc.listened,promo.perc.listened,radio.perc.listened,recently.played.perc.listened,search.perc.listened,unknown.perc.listened,total.user.ratio.success.search.play.after30.sec,total.avg.time.background.week.journey,total.avg.time.foreground.week.journey,total.unique.playlists.played.week.journey,total.user.created.week.journey,total.user.trackadded.week.journey,total.user.ratio.skipped.week.journey,total.user.ratio.saved.week.journey,total.user.ratio.added.week.journey,songs.per.playlist.ratio
53,Yes,28272.444,0.284,Day,14.667,0,2.3,47.013,15.167,24.15,0,0,23.829,11.3,2.9,0,37.38,7.35,14.8,69110.889,608,9.222,0,0,9.503,0,0,0
53,No,545.8,2.513,Day,2.75,0,0,0,0,0,0,76,0,40,0,80,0,0,0,4369.143,1127.25,1.2,0,0,50.926,0,0,0
53,No,17561.4,0.745,Day,19.5,0,20.1,49.682,9.633,21.25,0,0,31.6,29.943,6.85,3.233,26.25,0,41.9,19967.9,637.273,5.7,0,0,18.822,0,0,0
53,Yes,11532.556,1.043,Late night,1.667,0,0,0,10.6,0,43.6,0,63.7,42.4,0,0,0,0,0,11786.333,608,3.778,0,0,2.918,0,0,0
53,Yes,17349.583,0.235,Day,84.583,0,5,0.4,1.7,7.3,0,91.694,19.9,5.3,0,0,0,0,0,35268.667,7522.833,2.5,1,12.667,43.75,0.517,6.552,38
23,Yes,24453.917,0.287,Day,8.9,0,28.688,0,8.75,10.767,0,0,42.267,33.525,0,9.2,16.767,0,54.5,103677.667,620.417,6.25,2,1,7.036,0,0.791,0.5
23,No,6895.667,1.367,Day,6,0,0,0,0,93.433,0,0,19.7,0,0,0,0,0,0,3727.8,1181,1,2,4.5,13.534,6.767,10.15,4.5
53,Yes,6605,2.632,Day,3,0,0,12.8,11.55,48.5,0,0,9,48.617,16.9,31.3,54.167,0,10,42009.8,947.8,2.8,0,0,7.5,0,0,0
53,Yes,5005.1,1.031,Day,16.286,0,0,26.067,37.833,46.3,100,20.05,36.867,55.467,24.1,30.775,26.833,0,62.5,18896,637,3.7,3.5,10.667,33.929,2.083,22.222,4.571
23,Yes,4223.5,1.539,Day,11.143,0,100,0,79.55,23.05,0,0,6.6,0,0,0,55.35,0,120,3255,1626,2.625,2,4,35.096,0,12.598,2
55,No,3416.5,0.578,Day,66.5,0,24.3,11.7,37.5,50.175,0,0,37.4,0,21.35,0,21.4,0,50,4636.75,501.75,5.25,0,0,77.101,0,0,0
55,Yes,29589.909,0.415,Night,2.857,0,57.7,72.222,0,8.05,0,0,6.525,0.3,4.4,7.8,51.78,0,37.9,253153.273,705.417,3.545,0,0,1.81,0,0,0
55,Yes,5223.25,4.325,Day,11,0,9.4,0,15.6,75,0,0,88.667,0,0,34,0,0,0,20962.8,733,1.25,0,0,41.509,0,0,0
53,Yes,729,1.527,Day,27.5,0,0,0,0,100,0,0,0,0,0,50,0,0,0,1678.5,578.8,1,0,0,113.014,0,0,0
23,No,2226,0.93,Day,60.429,0,9.8,0,72.1,6.2,8.35,0,41.7,15.725,60.133,1.8,63.55,0,40,40331.125,774.875,6.571,2,3,84.431,9.78,4.192,1.5
